max_depth:11.231315,n_estimators:63.513393,learning_rate:0.082474,subsample:0.309799,colsample_bytree:0.716698,min_child_weight:5.235222,gamma:0.866309,auc:0.831081
max_depth:10.375338,n_estimators:30.262061,learning_rate:0.059242,subsample:0.343755,colsample_bytree:0.625493,min_child_weight:29.799487,gamma:0.656127,auc:0.734888
max_depth:11.302009,n_estimators:73.952640,learning_rate:0.060636,subsample:0.393739,colsample_bytree:0.714866,min_child_weight:15.342006,gamma:0.051364,auc:0.798983
max_depth:11.023362,n_estimators:86.228498,learning_rate:0.060669,subsample:0.321489,colsample_bytree:0.642458,min_child_weight:11.737766,gamma:0.999759,auc:0.794419
max_depth:10.014065,n_estimators:49.243903,learning_rate:0.068740,subsample:0.316930,colsample_bytree:0.660204,min_child_weight:9.201867,gamma:0.063370,auc:0.779606
max_depth:10.626066,n_estimators:75.290458,learning_rate:0.086451,subsample:0.308656,colsample_bytree:0.746790,min_child_weight:9.565833,gamma:0.818261,auc:0.805163,KS:0.446350
max_depth:11.221506,n_estimators:97.390588,learning_rate:0.053409,subsample:0.334613,colsample_bytree:0.708685,min_child_weight:18.198909,gamma:0.804320,auc:0.784432,KS:0.403770
max_depth:11.001516,n_estimators:55.451145,learning_rate:0.093287,subsample:0.357073,colsample_bytree:0.793843,min_child_weight:4.709988,gamma:0.189672,auc:0.846348,KS:0.525688
max_depth:11.424006,n_estimators:80.999699,learning_rate:0.077217,subsample:0.475408,colsample_bytree:0.698313,min_child_weight:24.902766,gamma:0.395278,auc:0.793086,KS:0.433111
max_depth:10.698971,n_estimators:54.080881,learning_rate:0.065599,subsample:0.382888,colsample_bytree:0.780159,min_child_weight:25.747896,gamma:0.977422,auc:0.763747,KS:0.396510
max_depth:12.000000,n_estimators:20.000000,learning_rate:0.100000,subsample:0.500000,colsample_bytree:0.600000,min_child_weight:1.000000,gamma:0.050000,auc:0.841169,KS:0.515932
max_depth:10.165138,n_estimators:38.132640,learning_rate:0.050000,subsample:0.500000,colsample_bytree:0.800000,min_child_weight:1.000000,gamma:1.000000,auc:0.830029,KS:0.490960
max_depth:12.000000,n_estimators:20.000000,learning_rate:0.100000,subsample:0.500000,colsample_bytree:0.600000,min_child_weight:40.000000,gamma:0.050000,auc:0.741122,KS:0.347459
max_depth:12.000000,n_estimators:100.000000,learning_rate:0.100000,subsample:0.300000,colsample_bytree:0.800000,min_child_weight:40.000000,gamma:0.050000,auc:0.771065,KS:0.388784
max_depth:11.991592,n_estimators:62.268332,learning_rate:0.090222,subsample:0.470283,colsample_bytree:0.786268,min_child_weight:1.129458,gamma:0.215311,auc:0.900292,KS:0.635139
max_depth:12.000000,n_estimators:100.000000,learning_rate:0.100000,subsample:0.500000,colsample_bytree:0.600000,min_child_weight:1.000000,gamma:0.050000,auc:0.929725,KS:0.705077
max_depth:12.000000,n_estimators:89.496264,learning_rate:0.100000,subsample:0.300000,colsample_bytree:0.800000,min_child_weight:1.000000,gamma:0.056601,auc:0.915318,KS:0.663271
max_depth:10.198076,n_estimators:96.605867,learning_rate:0.082124,subsample:0.470094,colsample_bytree:0.677951,min_child_weight:1.020878,gamma:0.140469,auc:0.892289,KS:0.622119
max_depth:12.000000,n_estimators:100.000000,learning_rate:0.100000,subsample:0.300000,colsample_bytree:0.800000,min_child_weight:1.000000,gamma:1.000000,auc:0.920876,KS:0.672525
max_depth:12.000000,n_estimators:100.000000,learning_rate:0.050000,subsample:0.500000,colsample_bytree:0.800000,min_child_weight:1.000000,gamma:0.050000,auc:0.901012,KS:0.630085
max_depth:12.000000,n_estimators:67.295542,learning_rate:0.100000,subsample:0.300000,colsample_bytree:0.600000,min_child_weight:40.000000,gamma:1.000000,auc:0.747388,KS:0.337136
max_depth:10.000000,n_estimators:20.000000,learning_rate:0.100000,subsample:0.300000,colsample_bytree:0.600000,min_child_weight:19.857351,gamma:1.000000,auc:0.738418,KS:0.341612
max_depth:12.000000,n_estimators:40.522587,learning_rate:0.100000,subsample:0.300000,colsample_bytree:0.600000,min_child_weight:40.000000,gamma:0.050000,auc:0.736169,KS:0.336292
max_depth:12.000000,n_estimators:36.908003,learning_rate:0.100000,subsample:0.500000,colsample_bytree:0.600000,min_child_weight:18.030939,gamma:0.050000,auc:0.789631,KS:0.426000
max_depth:10.000000,n_estimators:85.036916,learning_rate:0.100000,subsample:0.300000,colsample_bytree:0.600000,min_child_weight:40.000000,gamma:1.000000,auc:0.751367,KS:0.360998
max_depth:12.000000,n_estimators:76.884890,learning_rate:0.100000,subsample:0.500000,colsample_bytree:0.600000,min_child_weight:1.000000,gamma:1.000000,auc:0.913158,KS:0.668191
max_depth:12.000000,n_estimators:63.841803,learning_rate:0.100000,subsample:0.500000,colsample_bytree:0.600000,min_child_weight:16.212768,gamma:1.000000,auc:0.819552,KS:0.490816
max_depth:12.000000,n_estimators:89.087277,learning_rate:0.100000,subsample:0.499665,colsample_bytree:0.600000,min_child_weight:9.402730,gamma:1.000000,auc:0.865119,KS:0.561608
max_depth:12.000000,n_estimators:48.324932,learning_rate:0.100000,subsample:0.300000,colsample_bytree:0.600000,min_child_weight:1.000000,gamma:1.000000,auc:0.847697,KS:0.507249
max_depth:12.000000,n_estimators:28.183405,learning_rate:0.100000,subsample:0.300000,colsample_bytree:0.600000,min_child_weight:7.394867,gamma:1.000000,auc:0.779700,KS:0.399322
max_depth:10.000000,n_estimators:30.878238,learning_rate:0.100000,subsample:0.500000,colsample_bytree:0.600000,min_child_weight:30.899116,gamma:1.000000,auc:0.752695,KS:0.366030
max_depth:10.020692,n_estimators:68.348795,learning_rate:0.076091,subsample:0.417569,colsample_bytree:0.608309,min_child_weight:1.345647,gamma:0.679831,auc:0.847074,KS:0.520261
max_depth:12.000000,n_estimators:100.000000,learning_rate:0.100000,subsample:0.500000,colsample_bytree:0.600000,min_child_weight:8.668726,gamma:1.000000,auc:0.875644,KS:0.597586
max_depth:11.717788,n_estimators:84.328425,learning_rate:0.099469,subsample:0.453783,colsample_bytree:0.606290,min_child_weight:1.030126,gamma:0.870107,auc:0.900206,KS:0.638977
max_depth:12.000000,n_estimators:49.279079,learning_rate:0.100000,subsample:0.300000,colsample_bytree:0.600000,min_child_weight:13.750404,gamma:1.000000,auc:0.781085,KS:0.415848
